Bird_ID	Trip_ID	min_Date	max_Date	min_Latitude	max_Latitude	min_Longitude	max_Longitude	track_dur	total_distance	max_Dcol	mean_Temperature	sd_Temperature	mean_Speed	sd_Speed
17A_L062826	3	2023-08-20 05:13:47	2023-08-22 20:26:46	38.8509667	39.4194317	-9.9795883	-9.4446967	63.2163888888889	13356.06	73.56	23.4661246612466	1.68095676549423	13.7068075880759	17.8774209223579
17A_L062826	4	2023-08-23 04:53:01	2023-08-23 20:14:30	39.1341867	39.4145083	-9.7650417	-9.502585	15.3580555555556	2029.87	36.24	24.0978260869565	0.826215822171482	13.89	15.9468768818761
17A_L062826	5	2023-08-24 05:15:31	2023-08-24 20:21:31	39.2413017	39.41173	-9.9311333	-9.5032167	15.1	2256.42	38.95	24.1888888888889	0.859767991234589	11.1737333333333	14.7049056836161
17A_L062826	6	2023-08-25 03:35:56	2023-08-26 20:24:39	39.1300567	39.4810067	-10.49719	-9.4907833	40.8119444444444	8923.16	86.09	23.5702479338843	1.3470511594741	15.9409752066116	16.9955236100411
17A_L062826	7	2023-08-26 22:41:43	2023-08-29 20:48:31	38.7487467	39.4678983	-10.347685	-9.5025467	70.1133333333333	21375.5	95.28	22.1965601965602	1.21998464041367	13.7739656019656	16.854025157471
17A_L062826	8	2023-08-29 21:56:15	2023-08-30 21:06:15	39.3100133	39.4137483	-10.2048333	-9.50345	23.1666666666667	4163.64	59.53	22.536231884058	1.22122004503367	15.9969855072464	17.7227590728158
17A_L062826	9	2023-08-30 22:25:30	2023-09-02 00:03:53	38.590935	39.4141867	-10.25236	-9.5031517	49.6397222222222	21490.63	105.31	23.0412371134021	1.30714898319703	15.6242611683849	17.3949261722622
17A_L062826	10	2023-09-02 05:13:44	2023-09-02 19:12:54	39.2025017	39.470175	-10.115055	-9.5063733	13.9861111111111	2260.9	52.89	22.6506024096386	1.02925185876665	16.221734939759	16.9900930121949
21_L93161	1	2023-08-18 05:02:07	2023-08-18 21:26:32	39.3974417	39.7458333	-9.5893733	-9.1351567	16.4069444444444	2373.6	39.74	18.9285714285714	0.965913914757236	11.6978367346939	17.0000819808174
21_L93161	2	2023-08-19 05:20:16	2023-08-19 21:14:44	38.839065	39.4490217	-9.8812683	-9.388475	15.9077777777778	3547.63	63.87	20.3263157894737	1.27531477351929	24.1734736842105	18.0113362227392
21_L93161	3	2023-08-20 04:49:11	2023-08-21 20:36:39	39.2978833	40.0761083	-9.57042	-8.96264	39.7911111111111	9874.83	86.97	19.4194915254237	1.19835053121887	21.3843220338983	19.6668126712182
21_L93161	4	2023-08-22 04:49:55	2023-08-22 20:35:41	39.3661517	39.85183	-9.76178	-9.0330583	15.7627777777778	3024.89	62.91	20.7204301075269	1.2714728826277	18.838623655914	17.8842883048793
21_L93161	5	2023-08-23 04:46:20	2023-08-23 20:30:35	38.858995	39.4139617	-9.9877533	-9.43435	15.7375	4070.65	61.62	19.7765957446809	0.791816413488549	15.2494468085106	18.0713309110035
21_L93161	6	2023-08-24 05:00:05	2023-08-24 20:35:24	39.1164533	39.4299917	-9.6401683	-9.28708	15.5886111111111	2144.4	33.48	19.3225806451613	0.957366068764356	13.5813333333333	16.7490701554583
21_L93161	7	2023-08-24 21:36:57	2023-08-25 20:44:35	39.1453783	39.414075	-9.7128483	-9.5033333	23.1272222222222	2535.39	31.86	19.1240875912409	0.701314474591364	15.924496350365	17.5788848769349
21_L93161	8	2023-08-25 22:36:20	2023-08-27 00:39:01	39.00763	39.44286	-9.7769183	-9.2790417	26.0447222222222	3513.35	45.21	17.4774193548387	0.824428049446322	18.2690838709677	18.0795145223275
21_L93161	9	2023-08-27 04:20:08	2023-08-29 23:24:52	38.771775	39.7216483	-10.0227283	-9.1129417	67.0788888888889	16833.35	77.13	17.0865139949109	2.19290281721455	20.777272264631	19.4278091039956
21_L93161	10	2023-08-30 05:10:07	2023-09-01 01:57:07	39.2190967	39.5032367	-10.0833567	-9.211765	44.7833333333333	5178.81	50.7	16.8233082706767	1.67184847277836	14.2729323308271	17.7780089069977
21_L93161	11	2023-09-01 05:10:15	2023-09-01 20:35:25	39.30165	39.4711617	-9.5539617	-9.2450133	15.4194444444444	1014.29	22.6	18.0434782608696	0.754663792084036	13.4873913043478	16.5085534985482
21_L93161	12	2023-09-02 03:55:47	2023-09-02 20:10:08	38.7995717	39.422005	-10.1561683	-9.3712533	16.2391666666667	3520.72	68.21	17.5876288659794	1.0680256055723	24.076	19.041256138536
22_L073290	1	2023-08-18 22:45:01	2023-08-19 21:46:02	39.2360367	39.4723567	-9.850135	-9.4985083	23.0169444444444	1205.19	33.14	22.7956204379562	0.768293430955782	9.63851094890511	16.367424527053
22_L073290	2	2023-08-20 04:42:01	2023-08-20 20:48:22	39.365975	39.5000167	-9.8710267	-9.4854967	16.1058333333333	1716.7	31.66	23.2083333333333	1.28895442462949	19.2916666666667	23.5317436107358
22_L073290	3	2023-08-21 04:58:23	2023-08-21 20:01:03	39.2892117	39.4691467	-9.7241033	-9.5024433	15.0444444444444	1153.01	23.27	22.9111111111111	1.25101706438432	9.69213333333333	16.699299700852
22_L073290	4	2023-08-22 04:52:16	2023-08-22 20:56:28	39.3032867	39.4411417	-10.0151817	-9.5036733	16.07	2610.93	44.53	24.1770833333333	1.42898411958814	8.58479166666667	16.0739130832779
22_L073290	5	2023-08-23 05:14:59	2023-08-23 20:18:27	39.3197267	39.480675	-9.883325	-9.504055	15.0577777777778	1722.56	32.7	24.0222222222222	0.886576267532754	11.5852888888889	16.6889371345107
22_L073290	6	2023-08-24 05:02:43	2023-08-26 21:12:23	38.6700033	39.4235633	-9.94881	-9.3781317	64.1611111111111	23779.6	86.53	22.2770448548813	1.05397997310053	12.8564960422164	18.2357867722516
22_L073290	7	2023-08-27 05:00:35	2023-08-27 19:38:41	39.08111	39.411935	-10.1297217	-9.3702933	14.635	2868.67	58.03	21.5862068965517	0.896397494599342	21.6492413793103	21.7749663332266
22_L073290	8	2023-08-28 04:13:39	2023-08-29 20:42:36	38.7219717	39.4153883	-10.2376367	-9.4302983	40.4825	14316.84	80.43	21.8416666666667	1.10529977253628	16.4828	19.9580148708048
