CONT_ID	DATEGMT	Month	Year	MAIN_tracking_Year	LON	LAT	COLONY	stage	UNIQUE_ID	timestamps
5917	17/08/2012 13:08	8	2012	2012	-17.275	23.5375	SEL	NON-BREEDING	12	2012-08-17 13:08:00
5918	18/08/2012 01:02	8	2012	2012	-14.53	25.96	SEL	NON-BREEDING	12	2012-08-18 01:02:00
5919	18/08/2012 13:04	8	2012	2012	-14.94	28.85	SEL	NON-BREEDING	12	2012-08-18 13:04:00
5920	19/08/2012 01:06	8	2012	2012	-15.46	29.14	SEL	NON-BREEDING	12	2012-08-19 01:06:00
5921	19/08/2012 13:05	8	2012	2012	-15.37	28.32	SEL	NON-BREEDING	12	2012-08-19 13:05:00
5922	20/08/2012 01:05	8	2012	2012	-15.4	28.62	SEL	NON-BREEDING	12	2012-08-20 01:05:00
5923	20/08/2012 13:01	8	2012	2012	-14.3	26.97	SEL	NON-BREEDING	12	2012-08-20 13:01:00
5924	21/08/2012 01:04	8	2012	2012	-15.645	24.19	SEL	NON-BREEDING	12	2012-08-21 01:04:00
5925	21/08/2012 13:03	8	2012	2012	-18.625	23.53	SEL	NON-BREEDING	12	2012-08-21 13:03:00
5926	22/08/2012 01:04	8	2012	2012	-18.785	23.36	SEL	NON-BREEDING	12	2012-08-22 01:04:00
5927	22/08/2012 13:04	8	2012	2012	-16.575	23.6575	SEL	NON-BREEDING	12	2012-08-22 13:04:00
5928	23/08/2012 01:06	8	2012	2012	-17.115	23.0275	SEL	NON-BREEDING	12	2012-08-23 01:06:00
5929	23/08/2012 13:02	8	2012	2012	-18.375	20.36	SEL	NON-BREEDING	12	2012-08-23 13:02:00
5930	24/08/2012 01:06	8	2012	2012	-15.9	15.25	SEL	NON-BREEDING	12	2012-08-24 01:06:00
5931	24/08/2012 13:08	8	2012	2012	-16.31	13.79	SEL	NON-BREEDING	12	2012-08-24 13:08:00
5932	25/08/2012 01:00	8	2012	2012	-18.235	20.15	SEL	NON-BREEDING	12	2012-08-25 01:00:00
5933	25/08/2012 13:03	8	2012	2012	-15.26	24.37	SEL	NON-BREEDING	12	2012-08-25 13:03:00
5934	26/08/2012 01:03	8	2012	2012	-15.17	26.15	SEL	NON-BREEDING	12	2012-08-26 01:03:00
5935	26/08/2012 13:00	8	2012	2012	-14.995	25.13	SEL	NON-BREEDING	12	2012-08-26 13:00:00
5936	27/08/2012 01:03	8	2012	2012	-16.635	22.5075	SEL	NON-BREEDING	12	2012-08-27 01:03:00
5937	27/08/2012 13:03	8	2012	2012	-16.675	21.7475	SEL	NON-BREEDING	12	2012-08-27 13:03:00
5938	28/08/2012 01:05	8	2012	2012	-15.94	20.77	SEL	NON-BREEDING	12	2012-08-28 01:05:00
5939	28/08/2012 13:05	8	2012	2012	-15.97	19.94	SEL	NON-BREEDING	12	2012-08-28 13:05:00
5940	29/08/2012 01:07	8	2012	2012	-16.51	19.07	SEL	NON-BREEDING	12	2012-08-29 01:07:00
5941	29/08/2012 13:08	8	2012	2012	-16.8	18.16	SEL	NON-BREEDING	12	2012-08-29 13:08:00
5942	30/08/2012 01:04	8	2012	2012	-17.115	22.3375	SEL	NON-BREEDING	12	2012-08-30 01:04:00
5943	30/08/2012 13:03	8	2012	2012	-16.905	23.8875	SEL	NON-BREEDING	12	2012-08-30 13:03:00
5944	31/08/2012 01:05	8	2012	2012	-16.16	22.9	SEL	NON-BREEDING	12	2012-08-31 01:05:00
5945	31/08/2012 13:04	8	2012	2012	-17.105	21.6175	SEL	NON-BREEDING	12	2012-08-31 13:04:00
5946	01/09/2012 01:04	9	2012	2012	-15.99	19.85	SEL	NON-BREEDING	12	2012-09-01 01:04:00
5947	01/09/2012 13:06	9	2012	2012	-16.41	20.9	SEL	NON-BREEDING	12	2012-09-01 13:06:00
